labeled_ratio,trial,seed,method,selected_threshold,selected_max_pseudo,selected_pseudo_weight,tuning_best_val_acc,final_best_val_acc,final_test_acc,final_test_f1,total_pseudo_labeled,tuning_time_sec,final_run_time_sec,total_time_sec,search_history,final_epoch_history
0.1,1,42,manual,0.93,300,0.5,0.466,0.5234,0.543,0.5355224478350417,600,51.85327300000063,37.129032000000734,88.98230500000136,,"[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.9474351536432901, ""train_acc"": 0.29977777777777775, ""val_loss"": 1.724380535888672, ""val_acc"": 0.382, ""val_f1"": 0.35081991204822116}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.5286366374757554, ""train_acc"": 0.4613333333333333, ""val_loss"": 1.5065194091796874, ""val_acc"": 0.4574, ""val_f1"": 0.4527812717786558}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.31950210263994, ""train_acc"": 0.5248888888888888, ""val_loss"": 1.4668420455932618, ""val_acc"": 0.4786, ""val_f1"": 0.473699169939501}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 1.0966452678044638, ""train_acc"": 0.6066666666666667, ""val_loss"": 1.409380291748047, ""val_acc"": 0.4962, ""val_f1"": 0.47513958102905407}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.9511662594477336, ""train_acc"": 0.6670833333333334, ""val_loss"": 1.3698147315979003, ""val_acc"": 0.5214, ""val_f1"": 0.5200930211687099}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.8254328417778015, ""train_acc"": 0.7152083333333333, ""val_loss"": 1.390311619567871, ""val_acc"": 0.5234, ""val_f1"": 0.5170393161934734}]"
0.1,1,42,pso,0.9323879262460042,230,0.6911063733326889,0.4854,0.5282,0.5313,0.5202239606898166,460,104.29715010000291,36.92264230000001,141.21979240000292,"[0.4854, 0.4854, 0.4854]","[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.9932150608698527, ""train_acc"": 0.2806666666666667, ""val_loss"": 1.6778509887695312, ""val_acc"": 0.396, ""val_f1"": 0.3870324319140529}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.5647740481694539, ""train_acc"": 0.4411111111111111, ""val_loss"": 1.5035050689697265, ""val_acc"": 0.4522, ""val_f1"": 0.43897374693490504}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.3343164165284898, ""train_acc"": 0.5268888888888889, ""val_loss"": 1.3738679077148437, ""val_acc"": 0.5086, ""val_f1"": 0.5058933312258159}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 1.171986098067705, ""train_acc"": 0.5830866807610994, ""val_loss"": 1.3542133087158204, ""val_acc"": 0.512, ""val_f1"": 0.5083872226270051}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 1.024501059095653, ""train_acc"": 0.6363636363636364, ""val_loss"": 1.3445054077148437, ""val_acc"": 0.5282, ""val_f1"": 0.5206460158226511}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.9036232648389788, ""train_acc"": 0.6896405919661733, ""val_loss"": 1.3787657257080077, ""val_acc"": 0.5144, ""val_f1"": 0.5115529769515036}]"
0.1,2,43,manual,0.97,500,1.0,0.4854,0.5316,0.5451,0.5429951890527358,531,51.499590100000205,36.707118499998614,88.20670859999882,,"[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.924249708281623, ""train_acc"": 0.3042222222222222, ""val_loss"": 1.6616006958007812, ""val_acc"": 0.3982, ""val_f1"": 0.385188424486976}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.5131671806971232, ""train_acc"": 0.4637777777777778, ""val_loss"": 1.4653886032104493, ""val_acc"": 0.48, ""val_f1"": 0.4773876054735364}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.3208126884036595, ""train_acc"": 0.5324444444444445, ""val_loss"": 1.4747643096923828, ""val_acc"": 0.4742, ""val_f1"": 0.47358002545418226}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 1.287276386004414, ""train_acc"": 0.5486647539174575, ""val_loss"": 1.388554913330078, ""val_acc"": 0.498, ""val_f1"": 0.4885074092419835}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 1.1236268422693587, ""train_acc"": 0.6060472301920106, ""val_loss"": 1.374848114013672, ""val_acc"": 0.504, ""val_f1"": 0.4966771190567261}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.9705234102607168, ""train_acc"": 0.6689472522621938, ""val_loss"": 1.3202855667114257, ""val_acc"": 0.5316, ""val_f1"": 0.5314771006878964}]"
0.1,2,43,pso,0.9,1191,0.45658726327310617,0.471,0.5458,0.5499,0.540273718869993,2382,101.86572050000177,36.220696500000486,138.08641700000226,"[0.4666, 0.471, 0.471]","[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.9131768256293402, ""train_acc"": 0.29733333333333334, ""val_loss"": 1.6557850708007813, ""val_acc"": 0.3954, ""val_f1"": 0.3663065303469203}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.4651013148625691, ""train_acc"": 0.4722222222222222, ""val_loss"": 1.5077455078125, ""val_acc"": 0.4672, ""val_f1"": 0.4472350768447397}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.254626468340556, ""train_acc"": 0.5506666666666666, ""val_loss"": 1.4191485275268554, ""val_acc"": 0.495, ""val_f1"": 0.48597671104561224}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 0.9062776645988179, ""train_acc"": 0.6768581971534001, ""val_loss"": 1.38077947845459, ""val_acc"": 0.508, ""val_f1"": 0.4892465767192869}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.7916949588790382, ""train_acc"": 0.7204357757863293, ""val_loss"": 1.3822236511230468, ""val_acc"": 0.5066, ""val_f1"": 0.5101650751841719}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.6802045498701165, ""train_acc"": 0.7634862062906344, ""val_loss"": 1.3503824867248535, ""val_acc"": 0.5458, ""val_f1"": 0.5358234735641635}]"
0.1,3,44,manual,0.97,500,1.0,0.4514,0.5628,0.5584,0.5532398932756398,605,48.042538399997284,37.172424199998204,85.21496259999549,,"[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.8937780692842272, ""train_acc"": 0.3288888888888889, ""val_loss"": 1.7322441650390625, ""val_acc"": 0.3786, ""val_f1"": 0.33716066015994256}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.4979670546849568, ""train_acc"": 0.4602222222222222, ""val_loss"": 1.5475604629516602, ""val_acc"": 0.4452, ""val_f1"": 0.4053738147509816}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.30300409772661, ""train_acc"": 0.5411111111111111, ""val_loss"": 1.3764967147827147, ""val_acc"": 0.5166, ""val_f1"": 0.5172518852744792}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 1.1259577537333667, ""train_acc"": 0.6052117263843648, ""val_loss"": 1.3653590744018556, ""val_acc"": 0.514, ""val_f1"": 0.5010765297888968}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.9646691986455721, ""train_acc"": 0.6605863192182411, ""val_loss"": 1.3504428604125978, ""val_acc"": 0.5232, ""val_f1"": 0.5168675186708155}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.8357073326064244, ""train_acc"": 0.7042345276872964, ""val_loss"": 1.2837857398986816, ""val_acc"": 0.5628, ""val_f1"": 0.5581998129842127}]"
0.1,3,44,pso,0.9213775137966076,839,0.777554439461229,0.4704,0.5516,0.5461,0.5373849161532115,1678,101.49647250000271,37.412850400000025,138.90932290000273,"[0.46, 0.463, 0.4704]","[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.9340048831303915, ""train_acc"": 0.302, ""val_loss"": 1.6481244384765625, ""val_acc"": 0.409, ""val_f1"": 0.38890548058306423}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.50666145684984, ""train_acc"": 0.47244444444444444, ""val_loss"": 1.484539877319336, ""val_acc"": 0.4638, ""val_f1"": 0.4629083736094728}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.3432092945310805, ""train_acc"": 0.5211111111111111, ""val_loss"": 1.488617623901367, ""val_acc"": 0.4642, ""val_f1"": 0.44351400057717394}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 1.0499588203108652, ""train_acc"": 0.635137666229631, ""val_loss"": 1.417468162536621, ""val_acc"": 0.513, ""val_f1"": 0.48876852793627845}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.8970749143871793, ""train_acc"": 0.6933882749578573, ""val_loss"": 1.329533070373535, ""val_acc"": 0.5376, ""val_f1"": 0.5269055617627245}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.7801497615127221, ""train_acc"": 0.7287881625772616, ""val_loss"": 1.318084285736084, ""val_acc"": 0.5516, ""val_f1"": 0.5444069610276854}]"
0.2,1,42,manual,0.93,300,0.5,0.5268,0.6006,0.5983,0.6025294493025506,600,56.21635570000217,41.93692109999756,98.15327679999973,,"[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.7593163878122966, ""train_acc"": 0.3636666666666667, ""val_loss"": 1.4972542129516602, ""val_acc"": 0.4658, ""val_f1"": 0.4584672431792063}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.3769704406526353, ""train_acc"": 0.5018888888888889, ""val_loss"": 1.3576897277832032, ""val_acc"": 0.5086, ""val_f1"": 0.4991638957366925}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.1949992706510755, ""train_acc"": 0.5755555555555556, ""val_loss"": 1.2582886367797852, ""val_acc"": 0.5498, ""val_f1"": 0.5410952734283299}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 1.0312122440338134, ""train_acc"": 0.636021505376344, ""val_loss"": 1.239334033203125, ""val_acc"": 0.5634, ""val_f1"": 0.5664551316678498}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.9160252484454904, ""train_acc"": 0.676989247311828, ""val_loss"": 1.1591034690856934, ""val_acc"": 0.5948, ""val_f1"": 0.5959995582921326}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.7900742566200994, ""train_acc"": 0.7231182795698925, ""val_loss"": 1.1677538940429688, ""val_acc"": 0.6006, ""val_f1"": 0.6042008223167763}]"
0.2,1,42,pso,0.9497983125293765,266,0.44476138293450307,0.5466,0.5948,0.5941,0.5800657708177372,532,111.75799479999841,41.992621000001236,153.75061579999965,"[0.5314, 0.5466, 0.5466]","[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.7253917712105644, ""train_acc"": 0.37133333333333335, ""val_loss"": 1.4888767517089845, ""val_acc"": 0.4656, ""val_f1"": 0.46038828277874233}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.3194753455056085, ""train_acc"": 0.5278888888888889, ""val_loss"": 1.3278057647705077, ""val_acc"": 0.5262, ""val_f1"": 0.5109731995360951}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.1394532817204794, ""train_acc"": 0.5928888888888889, ""val_loss"": 1.29178974609375, ""val_acc"": 0.5462, ""val_f1"": 0.5297208274810403}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 0.9749508828291388, ""train_acc"": 0.6622059140945392, ""val_loss"": 1.1773056900024415, ""val_acc"": 0.5928, ""val_f1"": 0.5903548772396378}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.8299584019500598, ""train_acc"": 0.71282106626376, ""val_loss"": 1.202646726989746, ""val_acc"": 0.5948, ""val_f1"": 0.5820948285810114}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.731257194503193, ""train_acc"": 0.7454133390891431, ""val_loss"": 1.2252460693359375, ""val_acc"": 0.5934, ""val_f1"": 0.5900240321753567}]"
0.2,2,43,manual,0.93,300,0.5,0.538,0.6054,0.599,0.5960195073113482,600,55.67395350000152,41.98523269999714,97.65918619999866,,"[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.7429495017793444, ""train_acc"": 0.37244444444444447, ""val_loss"": 1.4796109466552734, ""val_acc"": 0.462, ""val_f1"": 0.456348977018554}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.3334724910524156, ""train_acc"": 0.5262222222222223, ""val_loss"": 1.2973651657104492, ""val_acc"": 0.539, ""val_f1"": 0.5383775419733745}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.1209186652501424, ""train_acc"": 0.6033333333333334, ""val_loss"": 1.2534410926818849, ""val_acc"": 0.57, ""val_f1"": 0.5561426301119753}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 0.9370030553879276, ""train_acc"": 0.6694623655913978, ""val_loss"": 1.2183731605529786, ""val_acc"": 0.5752, ""val_f1"": 0.5710834781985804}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.7979310715070335, ""train_acc"": 0.7210752688172043, ""val_loss"": 1.2025161987304687, ""val_acc"": 0.5834, ""val_f1"": 0.5845771198298109}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.6632364929106928, ""train_acc"": 0.7720430107526882, ""val_loss"": 1.2135984619140625, ""val_acc"": 0.6054, ""val_f1"": 0.6019054134978588}]"
0.2,2,43,pso,0.9280364702134754,1394,0.5655390107313754,0.5364,0.605,0.6132,0.6108222977701537,2788,112.35965329999817,42.7402347999996,155.09988809999777,"[0.5364, 0.5364, 0.5364]","[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.7698194973203871, ""train_acc"": 0.3592222222222222, ""val_loss"": 1.4687561676025391, ""val_acc"": 0.4704, ""val_f1"": 0.4619916734119934}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.323221996837192, ""train_acc"": 0.5257777777777778, ""val_loss"": 1.2941550750732422, ""val_acc"": 0.5468, ""val_f1"": 0.5450640363542292}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.1165783730612862, ""train_acc"": 0.6062222222222222, ""val_loss"": 1.2032310272216797, ""val_acc"": 0.5792, ""val_f1"": 0.573775223861904}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 0.8429411911657047, ""train_acc"": 0.7076197806426785, ""val_loss"": 1.1773976295471191, ""val_acc"": 0.5978, ""val_f1"": 0.5940947479801223}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.707556092959311, ""train_acc"": 0.7592842024244757, ""val_loss"": 1.2159800731658936, ""val_acc"": 0.593, ""val_f1"": 0.5840140717651832}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.5896077670166991, ""train_acc"": 0.7990186646142005, ""val_loss"": 1.1958644987106324, ""val_acc"": 0.605, ""val_f1"": 0.6025326930903687}]"
0.2,3,44,manual,0.97,500,1.0,0.5256,0.5958,0.5973,0.5919709652977264,812,56.23489039999913,42.231522699999914,98.46641309999904,,"[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.745679706149631, ""train_acc"": 0.373, ""val_loss"": 1.4952386749267579, ""val_acc"": 0.466, ""val_f1"": 0.45959139146871014}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.3482375455432467, ""train_acc"": 0.5136666666666667, ""val_loss"": 1.324317950439453, ""val_acc"": 0.516, ""val_f1"": 0.5062702688282033}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.1492776775360107, ""train_acc"": 0.5902222222222222, ""val_loss"": 1.2484837646484375, ""val_acc"": 0.5504, ""val_f1"": 0.5527107586747595}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 0.9731799511565375, ""train_acc"": 0.6560352233676976, ""val_loss"": 1.184337744140625, ""val_acc"": 0.581, ""val_f1"": 0.5745908986438418}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.8319621626863775, ""train_acc"": 0.7062929553264605, ""val_loss"": 1.1836449729919434, ""val_acc"": 0.5958, ""val_f1"": 0.5907519077429808}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.7140217894541029, ""train_acc"": 0.7569802405498282, ""val_loss"": 1.2038377334594728, ""val_acc"": 0.5842, ""val_f1"": 0.5794076313437843}]"
0.2,3,44,pso,0.9028206283141692,703,0.2,0.5432,0.5958,0.5958,0.5891747041495876,1406,112.4768312999986,42.276978199999576,154.75380949999817,"[0.5278, 0.5402, 0.5432]","[{""round_idx"": 1, ""epoch_in_round"": 1, ""global_epoch"": 1, ""train_loss"": 1.7444627092149523, ""train_acc"": 0.36533333333333334, ""val_loss"": 1.4501982666015625, ""val_acc"": 0.468, ""val_f1"": 0.4473694877304311}, {""round_idx"": 1, ""epoch_in_round"": 2, ""global_epoch"": 2, ""train_loss"": 1.3491864454481337, ""train_acc"": 0.5223333333333333, ""val_loss"": 1.2735261779785156, ""val_acc"": 0.5342, ""val_f1"": 0.5357788132839157}, {""round_idx"": 1, ""epoch_in_round"": 3, ""global_epoch"": 3, ""train_loss"": 1.1546732617484199, ""train_acc"": 0.5966666666666667, ""val_loss"": 1.227171223449707, ""val_acc"": 0.5598, ""val_f1"": 0.5531437103718351}, {""round_idx"": 2, ""epoch_in_round"": 1, ""global_epoch"": 4, ""train_loss"": 0.9610117434423313, ""train_acc"": 0.6592806348551994, ""val_loss"": 1.151186929321289, ""val_acc"": 0.5876, ""val_f1"": 0.5800346373094398}, {""round_idx"": 2, ""epoch_in_round"": 2, ""global_epoch"": 5, ""train_loss"": 0.8209590466442912, ""train_acc"": 0.7108110893538081, ""val_loss"": 1.152388150024414, ""val_acc"": 0.5886, ""val_f1"": 0.5860941887551349}, {""round_idx"": 2, ""epoch_in_round"": 3, ""global_epoch"": 6, ""train_loss"": 0.710551526108366, ""train_acc"": 0.7535813665876533, ""val_loss"": 1.1811960083007813, ""val_acc"": 0.5958, ""val_f1"": 0.5896546416751005}]"
