labeled_ratio,trial,seed,method,round_idx,epoch_in_round,global_epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_acc_improvement
0.05,1,42,manual,1,1,1,2.077182,0.255111,1.888456,0.3198,0.295829,0.0
0.05,1,42,manual,1,2,2,1.692887,0.409778,1.666571,0.403,0.385495,0.0832
0.05,1,42,manual,1,3,3,1.468232,0.481333,1.643302,0.4108,0.399089,0.0078
0.05,1,42,manual,1,4,4,1.299766,0.552,1.525872,0.4462,0.427299,0.0354
0.05,1,42,manual,2,1,5,1.057627,0.629321,1.474792,0.4722,0.462065,0.026
0.05,1,42,manual,2,2,6,0.887935,0.701232,1.497812,0.4744,0.456673,0.0022
0.05,1,42,manual,2,3,7,0.772444,0.740961,1.581914,0.4714,0.467578,-0.003
0.05,1,42,manual,2,4,8,0.641313,0.784267,1.538597,0.4928,0.487973,0.0214
0.05,1,42,manual,3,1,9,0.499003,0.83593,1.634771,0.4996,0.487262,0.0068
0.05,1,42,manual,3,2,10,0.370928,0.881339,1.652893,0.497,0.497312,-0.0026
0.05,1,42,manual,3,3,11,0.262398,0.917136,1.868984,0.4868,0.47348,-0.0102
0.05,1,42,manual,3,4,12,0.194501,0.946304,2.055303,0.4888,0.4846,0.002
0.05,1,42,pso,1,1,1,2.099597,0.239556,1.882608,0.3414,0.311016,0.0
0.05,1,42,pso,1,2,2,1.702334,0.411556,1.71365,0.391,0.36566,0.0496
0.05,1,42,pso,1,3,3,1.494189,0.483556,1.606824,0.4256,0.426346,0.0346
0.05,1,42,pso,1,4,4,1.331421,0.535556,1.540068,0.4426,0.438218,0.017
0.05,1,42,pso,2,1,5,1.079431,0.63074,1.549483,0.4462,0.446644,0.0036
0.05,1,42,pso,2,2,6,0.933638,0.677419,1.52806,0.455,0.451703,0.0088
0.05,1,42,pso,2,3,7,0.831962,0.711954,1.531221,0.4718,0.46713,0.0168
0.05,1,42,pso,2,4,8,0.741352,0.744972,1.517303,0.4778,0.470831,0.006
0.05,1,42,pso,3,1,9,0.50407,0.825581,1.596669,0.4778,0.469439,0.0
0.05,1,42,pso,3,2,10,0.399345,0.860994,1.682248,0.4704,0.462381,-0.0074
0.05,1,42,pso,3,3,11,0.323785,0.89482,1.791769,0.471,0.455199,0.0006
0.05,1,42,pso,3,4,12,0.263626,0.913055,1.851843,0.4726,0.463501,0.0016
0.05,2,43,manual,1,1,1,2.044512,0.249778,1.862078,0.3352,0.326137,0.0
0.05,2,43,manual,1,2,2,1.669768,0.403111,1.661153,0.389,0.367213,0.0538
0.05,2,43,manual,1,3,3,1.40818,0.501333,1.55266,0.4396,0.433752,0.0506
0.05,2,43,manual,1,4,4,1.2344,0.548889,1.500831,0.4552,0.455876,0.0156
0.05,2,43,manual,2,1,5,1.037227,0.645747,1.496414,0.47,0.466534,0.0148
0.05,2,43,manual,2,2,6,0.854721,0.69777,1.600458,0.4514,0.449789,-0.0186
0.05,2,43,manual,2,3,7,0.713026,0.76507,1.585916,0.4812,0.483687,0.0298
